e:\ytison\documents\recherche\kalpha\mg-ionmtp-2015\bisb-electrolyte\x-ray005 400um - fg  on\sb-electrolyte-1\avg\sb-electrodemouilleev2.vms
C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	2.5
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C 1s_1_C1s Scan	C 1s_2_C1s Scan	C 1s_3_C1s Scan	C 1s_4_C1s Scan	C 1s_5_C1s Scan	C1s_6_C1s Scan	C1s_7_C1s Scan	Background_C1s Scan	Envelope_C1s Scan
1198.2	288.48	1459.54	857.132	857.971	869.131	857.18	908.177	857.132	1447.33	857.132	1511.26
1198.3	288.38	1547.09	855.113	856.587	863.063	855.199	926.164	855.113	1487.62	855.113	1568.18
1198.4	288.28	1566.92	853.029	855.572	858.199	853.184	950.161	853.029	1514.23	853.029	1619.22
1198.5	288.18	1646.1	850.708	855.012	854.029	850.979	981.713	850.708	1524.18	850.708	1663.08
1198.6	288.08	1683.56	848.271	855.413	850.371	848.737	1021.88	848.271	1517.28	848.271	1700.6
1198.7	287.98	1741.04	845.658	857.282	846.965	846.454	1072.09	845.658	1492.79	845.658	1732.96
1198.8	287.88	1766.76	842.962	861.509	843.766	844.291	1133.28	842.962	1453.71	842.962	1764.71
1198.9	287.78	1816.49	840.113	869.126	840.597	842.318	1205.7	840.113	1402.22	840.113	1799.51
1199	287.68	1858.36	837.133	881.622	837.423	840.718	1289.38	837.133	1342.35	837.133	1842.96
1199.1	287.58	1833.51	834.216	901.084	834.386	839.976	1382.74	834.216	1277.96	834.216	1899.28
1199.2	287.48	1969.34	830.894	929.377	830.993	840.005	1483.34	830.894	1212.16	830.894	1972.3
1199.3	287.38	2044.78	827.341	969.434	827.398	841.522	1587.08	827.341	1148.06	827.341	2064.13
1199.4	287.28	2139.85	823.5	1024.26	823.531	845.309	1688.95	823.5	1088.04	823.5	2176.09
1199.5	287.18	2254.8	819.311	1096.93	819.328	852.223	1782.8	819.311	1033.23	819.311	2307.27
1199.6	287.08	2350.59	814.829	1190.34	814.839	864.023	1862.2	814.829	984.805	814.829	2456.9
1199.7	286.98	2535.72	809.793	1306.2	809.798	881.948	1920.32	809.793	942.398	809.793	2621.5
1199.8	286.88	2706.7	804.241	1444.97	804.243	908.784	1952.9	804.241	905.981	804.241	2799.91
1199.9	286.78	2915.7	798.061	1604.6	798.062	947.057	1955.18	798.061	874.843	798.061	2987.51
1200	286.68	3176.83	791.099	1779.96	791.099	1000.29	1927.94	791.099	848.073	791.099	3182.96
1200.1	286.58	3405.79	783.446	1962.57	783.447	1072.86	1871.49	783.446	825.124	783.446	3381.71
1200.2	286.48	3603.01	775.194	2140.56	775.194	1168.84	1791.14	775.194	805.136	775.194	3580.09
1200.3	286.38	3847.8	766.201	2299.19	766.201	1294.21	1691.82	766.201	787.46	766.201	3774.09
1200.4	286.28	4131.76	756.351	2422.99	756.351	1451.88	1580.08	756.352	771.175	756.351	3957.07
1200.5	286.18	4237.92	746.161	2498.72	746.161	1648.65	1462.84	746.163	756.365	746.161	4128.1
1200.6	286.08	4455.92	735.305	2516.53	735.303	1885.15	1345.57	735.309	742.216	735.303	4283.56
1200.7	285.98	4613.68	723.963	2473.27	723.952	2163.57	1232.85	723.965	728.565	723.952	4426.42
1200.8	285.88	4677	712.445	2372.85	712.383	2481.42	1128.72	712.413	715.42	712.383	4561.35
1200.9	285.78	4820.2	700.671	2224.67	700.36	2832.1	1034.44	700.428	702.324	700.36	4692.82
1201	285.68	4883	689.51	2043.16	688.118	3205.57	951.513	688.265	689.376	688.118	4826.81
1201.1	285.58	4938.4	681.251	1843.77	675.679	3585.85	879.723	675.986	676.468	675.679	4964.66
1201.2	285.48	5081.52	682.74	1640.71	662.784	3952.13	818.166	663.408	663.275	662.784	5106.5
1201.3	285.38	5199.84	713.468	1445.84	649.505	4282.68	766.011	650.73	649.805	649.505	5261.01
