e:\ytison\documents\recherche\kalpha\mg-ionmtp-2015\bisb-brut\x-ray009 400um - fg  on\point 1 sb5bi5\avg\bi50sb50 electrode_v5.vms
C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	2.5
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C 1s_1_C1s Scan	C 1s_2_C1s Scan	C 1s_3_C1s Scan	C 1s_4_C1s Scan	C 1s_5_C1s Scan	C 1s_6_C1s Scan	C1s_7_C1s Scan	Background_C1s Scan	Envelope_C1s Scan
1204.5	282.18	611.16	480.205	480.206	480.205	480.471	480.205	482.591	480.205	480.205	482.858
1204.6	282.08	553.312	480.037	480.038	480.037	480.186	480.037	481.262	480.037	480.037	481.411
1204.7	281.98	525.752	479.932	479.933	479.932	480.014	479.932	480.54	479.932	479.932	480.621
1204.8	281.88	541.252	479.792	479.792	479.792	479.836	479.792	480.083	479.792	479.792	480.127
1204.9	281.78	530.696	479.675	479.675	479.675	479.698	479.675	479.81	479.675	479.675	479.833
1205	281.68	510.168	479.605	479.605	479.605	479.617	479.605	479.665	479.605	479.605	479.678
1205.1	281.58	529.804	479.49	479.49	479.49	479.496	479.49	479.516	479.49	479.49	479.522
1205.2	281.48	492.36	479.46	479.46	479.46	479.463	479.46	479.471	479.46	479.46	479.474
1205.3	281.38	509.172	479.392	479.392	479.392	479.393	479.392	479.396	479.392	479.392	479.398
1205.4	281.28	500.268	479.344	479.344	479.344	479.345	479.344	479.346	479.344	479.344	479.346
1205.5	281.18	507.84	479.278	479.278	479.278	479.279	479.278	479.279	479.278	479.278	479.28
1205.6	281.08	479.92	479.277	479.277	479.277	479.277	479.277	479.277	479.277	479.277	479.277
1205.7	280.98	484.464	479.265	479.265	479.265	479.265	479.265	479.265	479.265	479.265	479.265
1205.8	280.88	488.58	479.244	479.244	479.244	479.244	479.244	479.244	479.244	479.244	479.244
1205.9	280.78	491.8	479.215	479.215	479.215	479.215	479.215	479.215	479.215	479.215	479.215
1206	280.68	476.124	479.208	479.208	479.208	479.208	479.208	479.208	479.208	479.208	479.208
1206.1	280.58	484.332	479.196	479.196	479.196	479.196	479.196	479.196	479.196	479.196	479.196
1206.2	280.48	503.04	479.141	479.141	479.141	479.141	479.141	479.141	479.141	479.141	479.141
1206.3	280.38	450.052	450.052	450.052	450.052	450.052	450.052	450.052	450.052	450.052	450.052
1206.4	280.28	475.452	475.452	475.452	475.452	475.452	475.452	475.452	475.452	475.452	475.452
1206.5	280.18	479.792	479.792	479.792	479.792	479.792	479.792	479.792	479.792	479.792	479.792
1206.6	280.08	464.372	464.372	464.372	464.372	464.372	464.372	464.372	464.372	464.372	464.372
1206.7	279.98	462.512	462.512	462.512	462.512	462.512	462.512	462.512	462.512	462.512	462.512
1206.8	279.88	446.224	446.224	446.224	446.224	446.224	446.224	446.224	446.224	446.224	446.224
1206.9	279.78	481.324	481.324	481.324	481.324	481.324	481.324	481.324	481.324	481.324	481.324
1207	279.68	472.88	472.88	472.88	472.88	472.88	472.88	472.88	472.88	472.88	472.88
1207.1	279.58	477.088	477.088	477.088	477.088	477.088	477.088	477.088	477.088	477.088	477.088
1207.2	279.48	434.572	434.572	434.572	434.572	434.572	434.572	434.572	434.572	434.572	434.572
1207.3	279.38	447.732	447.732	447.732	447.732	447.732	447.732	447.732	447.732	447.732	447.732
1207.4	279.28	461.808	461.808	461.808	461.808	461.808	461.808	461.808	461.808	461.808	461.808
1207.5	279.18	476.52	476.52	476.52	476.52	476.52	476.52	476.52	476.52	476.52	476.52
1207.6	279.08	446.332	446.332	446.332	446.332	446.332	446.332	446.332	446.332	446.332	446.332
